Principal Component,PVE,Cumulative PVE
PC1,0.39210800341304286,0.39210800341304286
PC2,0.18683002251406547,0.5789380259271083
PC3,0.060985764690439356,0.6399237906175477
PC4,0.035136414734938205,0.6750602053524859
PC5,0.033160527413478094,0.708220732765964
PC6,0.030549211610445937,0.73876994437641
PC7,0.02832573014458885,0.7670956745209988
PC8,0.026061975135664033,0.7931576496566628
PC9,0.025147378269852062,0.8183050279265148
PC10,0.022942236300657837,0.8412472642271727
PC11,0.01907676291606846,0.8603240271432411
PC12,0.018886717919148015,0.879210745062389
PC13,0.01769153796936008,0.8969022830317491
PC14,0.016746392606602913,0.9136486756383521
PC15,0.015944733357188854,0.9295934089955409
PC16,0.015317539794767117,0.944910948790308
PC17,0.013437251688936001,0.958348200479244
PC18,0.011882352373136255,0.9702305528523802
PC19,0.010389229849639067,0.9806197827020193
PC20,0.007741043770532161,0.9883608264725515
PC21,0.006352452203851477,0.994713278676403
PC22,0.005227053864640136,0.9999403325410432
PC23,5.966745895677142e-05,1.0
PC24,5.88966242619126e-18,1.0
PC25,4.6554477781046805e-18,1.0
PC26,3.770519782999235e-18,1.0
PC27,8.614275001853386e-19,1.0
PC28,0.0,1.0
PC29,0.0,1.0
PC30,0.0,1.0
